POÇO ANP,BLOCO,BACIA,ESTADO,AMBIENTE,OPERADOR,INÍCIO DA PERFURAÇÃO,CONCLUSÃO DO POÇO,NOTIFICAÇÃO DE DESCOBERTA ?,DATA DA NOTIFICAÇÃO DE DESCOBERTA
1-SHEL-34A-RJS,C-M-791,Campos,RJ,MAR,Shell Brasil,2022-01-24 09:45:00,2022-04-05 00:00:00,Sim,2022-05-03 00:00:00
1-SHEL-34-RJS,C-M-791,Campos,RJ,MAR,Shell Brasil,2022-01-22 20:29:00,2022-01-24 00:00:00,Não,
1-BRSA-1383A-RJS,ALTO_CF_CE,Campos,RJ,MAR,Petrobras,2022-01-16 12:30:00,2022-07-19 00:00:00,Sim,2022-05-06 00:00:00
1-ENV-29-MA,PN-T-87,Parnaíba,MA,TERRA,Eneva,2022-01-15 12:00:00,2022-02-05 00:00:00,Não,
1-BRSA-1383-RJS,ALTO_CF_CE,Campos,RJ,MAR,Petrobras,2022-01-12 08:14:00,2022-01-16 00:00:00,Não,
1-TOT-2-RJS,C-M-541,Campos,RJ,MAR,TotalEnergies EP,2021-12-31 14:40:00,2022-08-01 00:00:00,Sim,2022-05-11 00:00:00
3-ENV-28D-MA,PN-T-69,Parnaíba,MA,TERRA,Eneva,2021-12-21 06:00:00,2022-01-09 00:00:00,Sim,2022-01-08 00:00:00
1-ENV-27D-AM,AM-T-85,Amazonas,AM,TERRA,Eneva,2021-12-09 18:00:00,2022-01-08 00:00:00,Não,
1-BGM-4-ES,ES-T-496,Espírito Santo,ES,TERRA,BGM,2021-11-27 08:00:00,2022-01-14 00:00:00,Sim,2022-01-03 00:00:00
1-ENV-26-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2021-11-03 00:00:00,2021-11-16 00:00:00,Sim,2021-11-16 00:00:00
1-ENV-25D-AM,AM-T-84,Amazonas,AM,TERRA,Eneva,2021-10-24 12:00:00,2021-11-23 00:00:00,Sim,2021-11-24 00:00:00
1-ENV-24D-MA,PN-T-133,Parnaíba,MA,TERRA,Eneva,2021-10-16 06:00:00,2021-10-29 00:00:00,Não,
1-BRSA-1382D-RJS,BLC_3MARIA,Santos,RJ,MAR,Petrobras,2021-10-01 20:04:00,2022-03-07 00:00:00,Sim,2022-03-03 00:00:00
1-ENV-23-MA,PN-T-163,Parnaíba,MA,TERRA,Eneva,2021-09-28 06:00:00,2021-10-10 00:00:00,Não,
1-ENV-22-MA,PN-T-146,Parnaíba,MA,TERRA,Eneva,2021-09-14 12:00:00,2021-09-24 00:00:00,Não,
1-ENV-21-MA,PN-T-47,Parnaíba,MA,TERRA,Eneva,2021-08-25 00:00:00,2021-09-07 00:00:00,Não,
1-BRSA-1381-SPS,ARAM,Santos,SP,MAR,Petrobras,2021-08-24 03:09:00,2022-01-08 00:00:00,Sim,2021-11-19 00:00:00
1-PHO-1-RN,POT-T-565,Potiguar,RN,TERRA,Phoenix Óleo & Gás,2021-08-19 09:00:00,2021-08-30 00:00:00,Sim,2021-09-02 00:00:00
1-EMEB-2-RJS,TITA,Santos,RJ,MAR,ExxonMobil Brasil,2021-08-15 01:14:00,2021-11-08 00:00:00,Sim,2021-11-04 00:00:00
3-ENV-20-MA,PN-T-48,Parnaíba,MA,TERRA,Eneva,2021-08-03 00:00:00,2021-08-20 00:00:00,Sim,2021-08-19 00:00:00
1-ENV-19-MA,PN-T-134,Parnaíba,MA,TERRA,Eneva,2021-06-18 00:00:00,2021-07-13 00:00:00,Sim,2021-08-09 00:00:00
1-BRSA-1380D-RJS,C-M-346,Campos,RJ,MAR,Petrobras,2021-05-22 17:52:00,2021-08-27 00:00:00,Sim,2021-08-12 00:00:00
1-ENV-18-MA,PN-T-69,Parnaíba,MA,TERRA,Eneva,2021-05-18 00:00:00,2021-06-09 00:00:00,Não,
1-IMET-28-ES,ES-T-441,Espírito Santo,ES,TERRA,Imetame,2021-04-18 06:00:00,2021-05-08 00:00:00,Sim,2021-05-14 00:00:00
1-BRSA-1379D-ESS,ES-M-669,Espírito Santo,ES,MAR,Petrobras,2021-04-06 18:09:00,2021-08-16 00:00:00,Sim,2021-07-28 00:00:00
1-BRSA-1378-RJS,C-M-709,Campos,RJ,MAR,Petrobras,2021-02-26 18:18:00,2021-05-20 00:00:00,Não,
1-EMEB-1A-RJS,C-M-789,Campos,RJ,MAR,ExxonMobil Brasil,2021-02-09 00:00:00,2021-08-06 00:00:00,Sim,2021-07-27 00:00:00
1-EMEB-1-RJS,C-M-789,Campos,RJ,MAR,ExxonMobil Brasil,2021-01-25 16:20:00,2021-06-02 00:00:00,Não,
3-ENV-17D-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2020-11-25 00:00:00,2020-12-06 00:00:00,Sim,2020-12-08 00:00:00
1-ENV-16DA-MA,PN-T-67A,Parnaíba,MA,TERRA,Eneva,2020-11-07 19:00:00,2020-11-19 00:00:00,Não,
1-ENV-16D-MA,PN-T-67A,Parnaíba,MA,TERRA,Eneva,2020-10-23 12:00:00,2020-11-07 00:00:00,Não,
1-BRSA-1377-RJS,C-M-411,Campos,RJ,MAR,Petrobras,2020-10-20 11:38:00,2021-02-24 00:00:00,Sim,2021-01-29 00:00:00
1-ENV-15-MA,PN-T-102A,Parnaíba,MA,TERRA,Eneva,2020-09-09 12:00:00,2020-09-25 00:00:00,Sim,2020-09-25 00:00:00
4-ENV-14-MA,PN-T-103,Parnaíba,MA,TERRA,Eneva,2020-08-17 12:00:00,2020-08-23 00:00:00,Não,
1-ENV-13-MA,PN-T-68,Parnaíba,MA,TERRA,Eneva,2020-08-02 00:00:00,2020-08-13 00:00:00,Sim,2020-08-13 00:00:00
3-ENV-12D-MA,PN-T-48,Parnaíba,MA,TERRA,Eneva,2020-07-03 06:00:00,2020-07-22 00:00:00,Não,
1-BRSA-1376D-RJS,C-M-657,Campos,RJ,MAR,Petrobras,2020-06-04 22:18:00,2020-10-15 00:00:00,Sim,2020-09-23 00:00:00
3-ENV-11D-MA,PN-T-48,Parnaíba,MA,TERRA,Eneva,2020-05-23 12:00:00,2020-07-02 00:00:00,Sim,2020-07-01 00:00:00
1-SHEL-33-RJS,SATURNO,Santos,RJ,MAR,Shell Brasil,2020-05-08 15:58:00,2020-06-13 00:00:00,Não,
1-NOVA-3-AL,SEAL-T-291,Alagoas,AL,TERRA,Nova Petróleo,2020-03-05 04:30:00,2020-03-11 00:00:00,Não,
3-SHEL-32D-RJS,S_GATO_MAT,Santos,RJ,MAR,Shell Brasil,2020-03-04 22:30:00,2020-05-05 00:00:00,Sim,2020-07-03 00:00:00
1-IMET-27-ES,ES-T-487,Espírito Santo,ES,TERRA,Imetame,2020-02-28 10:30:00,2020-04-06 00:00:00,Sim,2020-04-06 00:00:00
1-NOVA-2-AL,SEAL-T-280,Alagoas,AL,TERRA,Nova Petróleo,2020-02-17 20:00:00,2020-02-25 00:00:00,Não,
1-BRSA-1375-RJS,SO_TRTG_VD,Campos,RJ,MAR,Petrobras,2020-02-13 23:00:00,2020-04-17 00:00:00,Sim,2020-04-07 00:00:00
1-NOVA-1-AL,SEAL-T-292,Alagoas,AL,TERRA,Nova Petróleo,2020-01-30 09:30:00,2020-02-11 00:00:00,Não,
1-BRSA-1373B-SPS,BLC_UIRAPR,Santos,SP,MAR,Petrobras,2019-12-16 06:48:00,2020-04-15 00:00:00,Sim,2020-03-31 00:00:00
4-ENV-10-MA,PN-T-48,Parnaíba,MA,TERRA,Eneva,2019-12-06 12:00:00,2019-12-29 00:00:00,Sim,2019-12-30 00:00:00
1-GPK-5-RN,POT-T-747,Potiguar,RN,TERRA,Geopark Brasil,2019-12-04 20:30:00,2019-12-11 00:00:00,Não,
1-BRSA-1373A-SPS,BLC_UIRAPR,Santos,SP,MAR,Petrobras,2019-11-25 21:30:00,2019-12-15 00:00:00,Não,
1-BRSA-1373-SPS,BLC_UIRAPR,Santos,SP,MAR,Petrobras,2019-11-11 13:15:00,2019-11-25 00:00:00,Não,
3-BRSA-1371-SES,SEAL-M-424,Sergipe,SE,MAR,Petrobras,2019-11-06 11:30:00,2020-01-10 00:00:00,Sim,2019-12-16 00:00:00
3-BGM-3-ES,ES-T-476,Espírito Santo,ES,TERRA,BGM,2019-11-05 22:00:00,2020-01-30 00:00:00,Sim,2019-11-23 00:00:00
3-ENV-9-MA,PN-T-102,Parnaíba,MA,TERRA,Eneva,2019-10-23 09:00:00,2019-11-04 00:00:00,Sim,2019-11-05 00:00:00
1-PSY-20D-BA,REC-T-141,Recôncavo,BA,TERRA,Petrosynergy,2019-10-21 14:30:00,2019-11-21 00:00:00,Não,
1-SHEL-31-RJS,ALTO_CF_O,Santos,RJ,MAR,Shell Brasil,2019-10-06 23:58:00,2019-12-12 00:00:00,Sim,2019-12-20 00:00:00
3-ENV-8D-MA,PN-T-102,Parnaíba,MA,TERRA,Eneva,2019-09-17 06:00:00,2019-09-30 00:00:00,Sim,2019-09-30 00:00:00
3-BRSA-1370-SPS,S-M-623,Santos,SP,MAR,Petrobras,2019-09-12 07:10:00,2020-01-02 00:00:00,Sim,2020-01-06 00:00:00
1-ENV-7A-MA,PN-T-69,Parnaíba,MA,TERRA,Eneva,2019-08-19 09:30:00,2019-09-11 00:00:00,Sim,2019-09-09 00:00:00
