POÇO ANP,BLOCO,BACIA,ESTADO,AMBIENTE,OPERADOR,INÍCIO DA PERFURAÇÃO,CONCLUSÃO DO POÇO,NOTIFICAÇÃO DE DESCOBERTA ?,DATA DA NOTIFICAÇÃO DE DESCOBERTA
1-PTRA-9-MG,SF-T-106,São Francisco,MG,TERRA,Petra Energia,2012-05-11 02:00:00,2012-05-19 00:00:00,Não,
1-BRSA-1075D-ESS,ES-M-466,Espírito Santo,ES,MAR,Petrobras,2012-05-06 09:55:00,2012-11-19 00:00:00,Não,
1-BRSA-964A-RJS,S-M-415,Santos,RJ,MAR,Petrobras,2012-05-05 02:00:00,2012-08-31 00:00:00,Não,
3-BRSA-1074-RN,POT-T-744,Potiguar,RN,TERRA,Petrobras,2012-05-03 03:00:00,2012-08-18 00:00:00,Sim,2012-05-23 00:00:00
3-BRSA-1073-ES,CCNS,Espírito Santo,ES,TERRA,Petrobras,2012-04-29 17:00:00,2012-05-13 00:00:00,Sim,2012-05-14 00:00:00
3-GALP-43-SE,SEAL-T-429,Sergipe,SE,TERRA,Petrogal Brasil,2012-04-27 05:30:00,2012-05-27 00:00:00,Sim,2012-05-27 00:00:00
1-PTRA-8-MG,SF-T-118,São Francisco,MG,TERRA,Petra Energia,2012-04-24 07:30:00,2012-07-31 00:00:00,Sim,2012-05-28 00:00:00
3-OGX-81-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2012-04-24 05:00:00,2012-05-28 00:00:00,Sim,2012-05-24 00:00:00
1-BRSA-1071-ESS,ES-M-661,Espírito Santo,ES,MAR,Petrobras,2012-04-23 22:30:00,2012-06-08 00:00:00,Sim,2012-06-01 00:00:00
1-SPT-2-RN,POT-T-603,Potiguar,RN,TERRA,Sipet,2012-04-22 03:00:00,2012-04-28 00:00:00,Não,
3-OGX-80-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2012-04-09 20:00:00,2012-05-19 00:00:00,Sim,2012-04-25 00:00:00
6-STAR-25PA-RJS,S-M-225,Santos,RJ,MAR,SHB,2012-04-09 14:00:00,2012-06-14 00:00:00,Sim,2012-05-15 00:00:00
3-BRSA-1069-SES,SEAL-M-426,Sergipe,SE,MAR,Petrobras,2012-04-08 21:15:00,2012-08-13 00:00:00,Sim,2012-07-12 00:00:00
3-BRSA-1068-RN,BT-POT-8,Potiguar,RN,TERRA,Petrobras,2012-04-08 20:00:00,2014-07-31 00:00:00,Sim,2012-08-15 00:00:00
1-OGX-79-RJS,C-M-466,Campos,RJ,MAR,PetroRio,2012-04-04 10:50:00,2012-06-04 00:00:00,Sim,2012-04-25 00:00:00
1-STAR-27-BA,REC-T-130,Recôncavo,BA,TERRA,SHB,2012-04-03 20:30:00,2012-05-20 00:00:00,Não,
3-SHEL-27-RJS,S-M-518,Santos,RJ,MAR,Shell Brasil,2012-04-03 06:40:00,2012-07-18 00:00:00,Sim,2012-07-11 00:00:00
1-SPT-1-RN,POT-T-603,Potiguar,RN,TERRA,Sipet,2012-03-29 22:30:00,2012-05-09 00:00:00,Sim,2012-04-16 00:00:00
1-OGX-78-RJS,C-M-621,Campos,RJ,MAR,PetroRio,2012-03-25 00:00:00,2012-07-09 00:00:00,Sim,2012-06-29 00:00:00
1-GALP-42-RN,POT-T-743,Potiguar,RN,TERRA,Petrogal Brasil,2012-03-22 03:30:00,2012-04-10 00:00:00,Sim,2012-04-09 00:00:00
1-HRT-8-AM,SOL-T-169,Solimões,AM,TERRA,Petro Rio O&G,2012-03-17 18:00:00,2012-08-21 00:00:00,Sim,2012-07-26 00:00:00
1-OGX-77-MA,PN-T-85,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2012-03-16 12:45:00,2012-05-03 00:00:00,Sim,2012-05-02 00:00:00
1-BP-7-RJS,C-M-473,Campos,RJ,MAR,BP Energy,2012-03-14 19:40:00,2012-10-19 00:00:00,Sim,2012-09-24 00:00:00
1-BRSA-1059-AM,SOL-T-171,Solimões,AM,TERRA,Petrobras,2012-03-12 00:30:00,2012-07-10 00:00:00,Sim,2012-07-07 00:00:00
3-OGX-76-RJS,C-M-499,Campos,RJ,MAR,PetroRio,2012-03-10 05:00:00,2012-04-07 00:00:00,Sim,2012-04-30 00:00:00
1-PTRA-7-MG,SF-T-85,São Francisco,MG,TERRA,Petra Energia,2012-03-10 04:30:00,2012-04-22 00:00:00,Não,
1-PTRA-6-MG,SF-T-138,São Francisco,MG,TERRA,Petra Energia,2012-03-09 15:00:00,2012-04-23 00:00:00,Sim,2012-04-27 00:00:00
1-PTRA-5-MG,SF-T-105,São Francisco,MG,TERRA,Petra Energia,2012-03-06 13:00:00,2012-05-09 00:00:00,Sim,2012-07-25 00:00:00
1-BRSA-1056-BA,REC-T-235,Recôncavo,BA,TERRA,Petrobras,2012-03-02 00:00:00,2012-04-02 00:00:00,Sim,2012-03-15 00:00:00
1-BRSA-1055-RN,POT-T-600,Potiguar,RN,TERRA,Petrobras,2012-02-25 05:30:00,2012-03-11 00:00:00,Não,
3-OGX-75-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2012-02-24 23:00:00,2012-04-22 00:00:00,Sim,2012-03-27 00:00:00
3-BRSA-967A-RJS,BM-S-24,Santos,RJ,MAR,Petrobras,2012-02-24 21:40:00,2012-12-15 00:00:00,Sim,2012-10-08 00:00:00
1-BRSA-1050-SPS,S-M-1358,Santos,SP,MAR,Petrobras,2012-02-19 09:30:00,2012-11-03 00:00:00,Não,
3-GTE-4DPA-BA,REC-T-155,Recôncavo,BA,TERRA,SPE Tiêta,2012-02-17 10:15:00,2012-03-10 00:00:00,Sim,2012-03-16 00:00:00
1-PTRA-2-MG,SF-T-125,São Francisco,MG,TERRA,Petra Energia,2012-02-14 03:30:00,2012-06-27 00:00:00,Sim,2012-03-22 00:00:00
1-BRSA-1048-RN,POT-T-564,Potiguar,RN,TERRA,Petrobras,2012-02-11 21:30:00,2012-04-01 00:00:00,Não,
1-BRSA-1046D-BA,REC-T-235,Recôncavo,BA,TERRA,Petrobras,2012-02-10 14:30:00,2012-02-23 00:00:00,Não,
3-OGX-74-SPS,S-M-314,Santos,SP,MAR,PetroRio,2012-02-09 10:07:00,2012-04-19 00:00:00,Sim,2012-04-11 00:00:00
1-BRSA-1044-RN,POT-T-564,Potiguar,RN,TERRA,Petrobras,2012-02-05 08:30:00,2012-03-24 00:00:00,Sim,2012-03-19 00:00:00
1-BRSA-1042D-RN,POT-T-560,Potiguar,RN,TERRA,Petrobras,2012-02-01 22:30:00,2012-02-23 00:00:00,Não,
4-HRT-7D-AM,SOL-T-194,Solimões,AM,TERRA,Petro Rio O&G,2012-01-29 11:45:00,2012-07-18 00:00:00,Não,
3-OGX-73-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2012-01-28 19:00:00,2012-02-23 00:00:00,Sim,2012-02-24 00:00:00
1-BRSA-1041D-AL,SEAL-T-252,Alagoas,AL,TERRA,Petrobras,2012-01-27 07:00:00,2012-03-15 00:00:00,Não,
1-STAR-26-BA,REC-T-166,Recôncavo,BA,TERRA,SHB,2012-01-24 10:30:00,2012-03-25 00:00:00,Sim,2012-02-28 00:00:00
6-STAR-25P-RJS,S-M-225,Santos,RJ,MAR,SHB,2012-01-23 19:30:00,2012-04-09 00:00:00,Não,
3-OGX-72-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2012-01-19 11:30:00,2012-03-05 00:00:00,Sim,2012-02-09 00:00:00
3-BRSA-1012DPA-RJS,C-M-401,Campos,RJ,MAR,Petrobras,2012-01-13 20:00:00,2012-05-06 00:00:00,Não,
1-GALP-41-RN,POT-T-608,Potiguar,RN,TERRA,Petrogal Brasil,2012-01-11 03:30:00,2012-02-05 00:00:00,Sim,2012-02-03 00:00:00
1-BRSA-1038-RN,POT-T-609,Potiguar,RN,TERRA,Petrobras,2012-01-10 16:30:00,2012-02-20 00:00:00,Sim,2012-01-26 00:00:00
3-GTE-4D-BA,REC-T-155,Recôncavo,BA,TERRA,SPE Tiêta,2012-01-08 13:00:00,2012-02-16 00:00:00,Não,
1-BP-6-RJS,C-M-473,Campos,RJ,MAR,BP Energy,2012-01-07 13:00:00,2012-03-12 00:00:00,Não,
1-BRSA-1034-RN,POT-T-609,Potiguar,RN,TERRA,Petrobras,2012-01-05 16:30:00,2012-04-30 00:00:00,Sim,2012-01-25 00:00:00
1-HRT-6-AM,SOL-T-170,Solimões,AM,TERRA,Petro Rio O&G,2012-01-02 21:30:00,2012-05-18 00:00:00,Sim,2012-07-27 00:00:00
3-OGX-71-RJS,C-M-499,Campos,RJ,MAR,PetroRio,2012-01-02 10:30:00,2012-01-26 00:00:00,Não,
3-BRSA-1032-RJS,BM-S-11,Santos,RJ,MAR,Petrobras,2011-12-29 22:20:00,2012-04-24 00:00:00,Sim,2012-04-09 00:00:00
1-PTRA-4-MG,SF-T-137,São Francisco,MG,TERRA,Petra Energia,2011-12-29 03:30:00,2012-03-28 00:00:00,Sim,2012-03-22 00:00:00
1-PERN-2-ESS,ES-M-418,Espírito Santo,ES,MAR,Perenco Brasil,2011-12-27 21:00:00,2012-02-25 00:00:00,Não,
1-HRT-5-AM,SOL-T-192,Solimões,AM,TERRA,Petro Rio O&G,2011-12-27 20:00:00,2012-04-12 00:00:00,Sim,2012-03-15 00:00:00
3-BRSA-1031-SES,SEAL-M-495,Sergipe,SE,MAR,Petrobras,2011-12-26 02:20:00,2012-07-13 00:00:00,Sim,2012-06-12 00:00:00
3-OGX-70-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-12-16 04:50:00,2012-01-18 00:00:00,Não,
1-BRSA-1025-RN,POT-T-699,Potiguar,RN,TERRA,Petrobras,2011-12-15 10:30:00,2012-03-28 00:00:00,Sim,2012-01-05 00:00:00
3-BRSA-1023-SPS,LPA,Santos,SP,MAR,Petrobras,2011-12-15 09:18:00,2012-02-26 00:00:00,Sim,2012-02-23 00:00:00
4-BRSA-971B-SPS,BM-S-8,Santos,SP,MAR,Petrobras,2011-12-15 07:05:00,2012-12-29 00:00:00,Sim,2012-08-13 00:00:00
1-GALP-40-RN,POT-T-563,Potiguar,RN,TERRA,Petrogal Brasil,2011-12-10 09:30:00,2012-01-03 00:00:00,Sim,2012-01-02 00:00:00
4-BRSA-971A-SPS,BM-S-8,Santos,SP,MAR,Petrobras,2011-12-10 09:20:00,2011-12-15 00:00:00,Não,
1-BRSA-1022-SES,BM-SEAL-4,Sergipe,SE,MAR,Petrobras,2011-12-09 23:30:00,2012-07-23 00:00:00,Sim,2012-06-12 00:00:00
3-BRSA-1024-SPS,S-M-1289,Santos,SP,MAR,Petrobras,2011-12-07 13:30:00,2012-01-13 00:00:00,Sim,2012-01-02 00:00:00
1-BP-5-RJS,C-M-473,Campos,RJ,MAR,BP Energy,2011-12-02 14:30:00,2012-01-02 00:00:00,Não,
3-GTE-3D-BA,REC-T-155,Recôncavo,BA,TERRA,SPE Tiêta,2011-12-01 18:30:00,2012-01-14 00:00:00,Sim,2012-01-27 00:00:00
3-OGX-69-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-11-30 14:00:00,2011-12-25 00:00:00,Sim,2011-12-21 00:00:00
1-BRSA-1015-MAS,BM-BAR-1,Barreirinhas,MA,MAR,Petrobras,2011-11-30 08:00:00,2012-04-19 00:00:00,Sim,2012-04-13 00:00:00
1-BRSA-1013-SES,SEAL-M-495,Sergipe,SE,MAR,Petrobras,2011-11-28 00:00:00,2012-05-07 00:00:00,Não,
3-BRSA-1012-RJS,C-M-401,Campos,RJ,MAR,Petrobras,2011-11-25 21:15:00,2012-01-13 00:00:00,Não,
1-GTE-2-BA,REC-T-129,Recôncavo,BA,TERRA,SPE Tiêta,2011-11-23 00:45:00,2011-12-28 00:00:00,Não,
3-BRSA-1010HP-RJS,C-M-95,Campos,RJ,MAR,Petrobras,2011-11-22 22:30:00,2012-02-11 00:00:00,Sim,2012-01-05 00:00:00
1-BRSA-1009-RN,POT-T-560,Potiguar,RN,TERRA,Petrobras,2011-11-12 16:00:00,2011-11-28 00:00:00,Não,
6-STAR-24P-RJS,C-M-622,Campos,RJ,MAR,SHB,2011-11-11 22:30:00,2012-03-28 00:00:00,Sim,2012-01-18 00:00:00
3-APL-5D-RJS,C-M-202,Campos,RJ,MAR,Anadarko,2011-11-07 17:45:00,2012-01-27 00:00:00,Sim,2012-01-24 00:00:00
1-STAR-23-ES,ES-T-410,Espírito Santo,ES,TERRA,SHB,2011-11-07 03:00:00,2011-11-23 00:00:00,Não,
1-BRSA-1007-RJS,C-M-535,Campos,RJ,MAR,Petrobras,2011-11-06 20:00:00,2012-04-23 00:00:00,Sim,2012-03-16 00:00:00
1-PERN-1-ESS,ES-M-416,Espírito Santo,ES,MAR,Perenco Brasil,2011-11-06 10:30:00,2011-12-24 00:00:00,Não,
1-CISC-1-MG,SF-T-133,São Francisco,MG,TERRA,Cisco,2011-11-05 17:00:00,2012-12-09 00:00:00,Sim,2012-10-26 00:00:00
3-OGX-67-RJS,C-M-499,Campos,RJ,MAR,PetroRio,2011-11-04 17:00:00,2011-11-28 00:00:00,Não,
1-BRSA-1006-RN,POT-T-610,Potiguar,RN,TERRA,Petrobras,2011-11-04 00:30:00,2012-02-13 00:00:00,Sim,2011-11-28 00:00:00
3-OGX-64DPA-RJS,C-M-499,Campos,RJ,MAR,PetroRio,2011-11-04 00:00:00,2011-12-13 00:00:00,Sim,2011-11-24 00:00:00
1-BRSA-1005-MG,SF-T-112,São Francisco,MG,TERRA,Petrobras,2011-11-02 03:30:00,2012-07-02 00:00:00,Sim,2011-12-12 00:00:00
1-OGX-63A-SPS,S-M-268,Santos,SP,MAR,PetroRio,2011-10-26 09:41:00,2012-02-05 00:00:00,Sim,2012-01-02 00:00:00
4-BRSA-1002-SPS,S-M-1289,Santos,SP,MAR,Petrobras,2011-10-25 16:01:00,2011-12-01 00:00:00,Sim,2011-11-23 00:00:00
1-OGX-66-MA,PN-T-67,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2011-10-25 12:00:00,2011-11-15 00:00:00,Não,
3-OGX-65D-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-10-22 08:00:00,2011-11-23 00:00:00,Sim,2011-11-24 00:00:00
1-BRSA-1000-RN,POT-T-610,Potiguar,RN,TERRA,Petrobras,2011-10-21 16:00:00,2012-01-05 00:00:00,Sim,2011-11-04 00:00:00
1-SHEL-26-RJS,S-M-518,Santos,RJ,MAR,Shell Brasil,2011-10-18 05:10:00,2012-01-28 00:00:00,Sim,2012-01-12 00:00:00
1-BRSA-997-APS,FZA-M-252,Foz do Amazonas,AP,MAR,Petrobras,2011-10-15 00:30:00,2012-03-15 00:00:00,Não,
3-OGX-64DP-RJS,C-M-499,Campos,RJ,MAR,PetroRio,2011-10-12 00:05:00,2011-11-03 00:00:00,Não,
1-OGX-63-SPS,S-M-268,Santos,SP,MAR,PetroRio,2011-10-08 21:30:00,2011-10-25 00:00:00,Não,
1-STAT-7-BAS,CAL-M-60,Camamu,BA,MAR,Equinor Energy,2011-10-07 22:00:00,2011-11-08 00:00:00,Não,
1-GTE-1-BA,REC-T-142,Recôncavo,BA,TERRA,SPE Tiêta,2011-10-07 00:00:00,2011-11-23 00:00:00,Sim,2011-11-21 00:00:00
1-BRSA-985-AM,SOL-T-193,Solimões,AM,TERRA,Petrobras,2011-09-21 18:00:00,2011-12-02 00:00:00,Sim,2011-12-21 00:00:00
1-BRSA-984-AM,SOL-T-171,Solimões,AM,TERRA,Petrobras,2011-09-20 21:30:00,2012-02-10 00:00:00,Sim,2011-12-22 00:00:00
1-BRSA-983-ESS,ES-M-414,Espírito Santo,ES,MAR,Petrobras,2011-09-16 06:05:00,2011-11-11 00:00:00,Sim,2011-10-28 00:00:00
1-STAR-22-RJS,C-M-622,Campos,RJ,MAR,SHB,2011-09-14 06:00:00,2012-01-05 00:00:00,Sim,2011-12-16 00:00:00
4-OGX-62-RJS,C-M-499,Campos,RJ,MAR,PetroRio,2011-09-13 07:00:00,2011-10-11 00:00:00,Sim,2011-10-20 00:00:00
1-PTX-26-RN,POT-T-601,Potiguar,RN,TERRA,Mandacaru Energia,2011-09-07 15:00:00,2011-09-13 00:00:00,Não,
3-OGX-61-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-09-06 06:30:00,2011-11-02 00:00:00,Sim,2011-12-07 00:00:00
1-BRSA-980-PRS,S-M-1476,Santos,PR,MAR,Petrobras,2011-09-02 20:30:00,2011-10-20 00:00:00,Não,
1-STAR-21-RJS,S-M-225,Santos,RJ,MAR,SHB,2011-09-02 14:30:00,2012-05-01 00:00:00,Não,
1-PTX-25-RN,POT-T-556,Potiguar,RN,TERRA,Mandacaru Energia,2011-09-01 03:10:00,2011-09-05 00:00:00,Não,
3-BRSA-979-RN,POT-T-744,Potiguar,RN,TERRA,Petrobras,2011-08-29 12:30:00,2011-10-24 00:00:00,Sim,2011-09-19 00:00:00
1-BRSA-978-SES,SEAL-M-497,Sergipe,SE,MAR,Petrobras,2011-08-26 23:08:00,2012-06-02 00:00:00,Não,
1-UTC-6-PB,RIOP-T-20,Rio do Peixe,PB,TERRA,Norteoleum,2011-08-26 06:00:00,2011-09-03 00:00:00,Não,
4-BRSA-973A-SPS,BM-S-9,Santos,SP,MAR,Petrobras,2011-08-21 02:30:00,2011-12-06 00:00:00,Sim,2011-11-29 00:00:00
1-PTX-24-RN,POT-T-601,Potiguar,RN,TERRA,Mandacaru Energia,2011-08-20 16:30:00,2011-08-28 00:00:00,Não,
1-OGX-59-MA,PN-T-49,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2011-08-19 02:00:00,2011-10-11 00:00:00,Sim,2011-10-19 00:00:00
4-BRSA-973-SPS,BM-S-9,Santos,SP,MAR,Petrobras,2011-08-14 13:45:00,2011-08-19 00:00:00,Não,
1-PTRA-3-MG,SF-T-118,São Francisco,MG,TERRA,Petra Energia,2011-08-14 08:00:00,2012-05-13 00:00:00,Não,
1-HRT-4-AM,SOL-T-194,Solimões,AM,TERRA,Petro Rio O&G,2011-08-11 08:00:00,2012-01-03 00:00:00,Sim,2011-11-10 00:00:00
1-REPF-12D-RJS,C-M-539,Campos,RJ,MAR,Repsol Sinopec,2011-08-09 11:08:00,2012-03-08 00:00:00,Sim,2012-04-24 00:00:00
3-OGX-58DP-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-08-07 21:30:00,2011-09-03 00:00:00,Não,
4-BRSA-971-SPS,BM-S-8,Santos,SP,MAR,Petrobras,2011-08-06 09:30:00,2011-08-08 00:00:00,Não,
1-BRSA-970-RN,POT-T-602,Potiguar,RN,TERRA,Petrobras,2011-08-06 03:00:00,2011-08-19 00:00:00,Não,
3-BRSA-968-ES,CCNS,Espírito Santo,ES,TERRA,Petrobras,2011-08-02 03:00:00,2011-09-23 00:00:00,Sim,2011-08-16 00:00:00
3-BRSA-967-RJS,BM-S-24,Santos,RJ,MAR,Petrobras,2011-08-01 11:00:00,2011-08-03 00:00:00,Não,
3-OGX-57-MA,PN-T-68,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2011-07-30 12:00:00,2011-08-26 00:00:00,Não,
1-BRSA-954A-ESS,ES-M-523,Espírito Santo,ES,MAR,Petrobras,2011-07-28 00:20:00,2012-05-20 00:00:00,Sim,2012-05-11 00:00:00
1-QG-5A-BAS,BM-J-2,Jequitinhonha,BA,MAR,Enauta Energia,2011-07-27 05:00:00,2013-10-26 00:00:00,Sim,2013-10-18 00:00:00
1-BRSA-964-RJS,S-M-415,Santos,RJ,MAR,Petrobras,2011-07-26 23:30:00,2011-07-30 00:00:00,Não,
4-BRSA-946C-SPS,BM-S-8,Santos,SP,MAR,Petrobras,2011-07-26 21:30:00,2011-12-07 00:00:00,Sim,2011-11-28 00:00:00
3-OGX-56D-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-07-26 03:30:00,2011-09-26 00:00:00,Sim,2011-08-26 00:00:00
1-BRSA-962-RNS,BM-POT-11,Potiguar,RN,MAR,Petrobras,2011-07-24 01:00:00,2012-06-29 00:00:00,Sim,2012-02-02 00:00:00
1-IMET-5-BA,REC-T-211,Recôncavo,BA,TERRA,Imetame,2011-07-23 12:00:00,2011-09-26 00:00:00,Sim,2012-10-08 00:00:00
3-OGX-54-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-07-21 22:32:00,2011-10-28 00:00:00,Sim,2011-09-06 00:00:00
1-BRSA-961-AM,SOL-T-171,Solimões,AM,TERRA,Petrobras,2011-07-20 21:44:00,2011-12-15 00:00:00,Sim,2011-10-21 00:00:00
3-BRSA-960D-RJS,C-M-95,Campos,RJ,MAR,Petrobras,2011-07-19 12:15:00,2011-11-19 00:00:00,Sim,2011-10-18 00:00:00
3-BP-4-ESS,C-M-61,Campos,ES,MAR,BP Energy,2011-07-17 21:30:00,2011-11-27 00:00:00,Sim,2011-11-07 00:00:00
1-BRSA-958-ESS,BM-C-25,Campos,ES,MAR,Petrobras,2011-07-11 01:30:00,2011-09-24 00:00:00,Sim,2011-09-20 00:00:00
3-OGX-53D-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-07-10 10:40:00,2011-08-22 00:00:00,Sim,2011-08-18 00:00:00
3-BRSA-957-SCS,BM-S-12,Santos,SC,MAR,Petrobras,2011-07-10 08:00:00,2012-05-28 00:00:00,Não,
3-BRSA-956-RN,POT-T-744,Potiguar,RN,TERRA,Petrobras,2011-07-09 22:00:00,2011-10-09 00:00:00,Sim,2011-08-03 00:00:00
3-BRSA-955-RN,POT-T-706,Potiguar,RN,TERRA,Petrobras,2011-07-04 16:00:00,2011-07-09 00:00:00,Não,
1-OGX-52-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-07-04 06:45:00,2011-08-07 00:00:00,Sim,2011-07-25 00:00:00
1-BRSA-925A-RJS,S-M-417,Santos,RJ,MAR,Petrobras,2011-07-01 08:00:00,2012-05-24 00:00:00,Sim,2012-05-07 00:00:00
4-BRSA-946B-SPS,BM-S-8,Santos,SP,MAR,Petrobras,2011-06-30 13:00:00,2011-07-23 00:00:00,Não,
3-OGX-51DP-MA,PN-T-68,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2011-06-30 09:00:00,2011-07-19 00:00:00,Sim,2011-07-20 00:00:00
1-BRSA-954-ESS,ES-M-523,Espírito Santo,ES,MAR,Petrobras,2011-06-30 07:38:00,2011-07-26 00:00:00,Não,
1-HRT-3-AM,SOL-T-168,Solimões,AM,TERRA,Petro Rio O&G,2011-06-29 15:00:00,2011-10-22 00:00:00,Sim,2011-09-16 00:00:00
1-PTRA-1-MG,SF-T-128,São Francisco,MG,TERRA,Petra Energia,2011-06-25 11:00:00,2011-12-14 00:00:00,Sim,2011-10-24 00:00:00
3-OGX-50D-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-06-25 05:30:00,2011-07-24 00:00:00,Sim,2011-07-22 00:00:00
4-OGX-49-MA,PN-T-68,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2011-06-24 04:30:00,2011-08-06 00:00:00,Não,
1-HRT-2-AM,SOL-T-169,Solimões,AM,TERRA,Petro Rio O&G,2011-06-21 22:30:00,2011-11-18 00:00:00,Sim,2011-11-07 00:00:00
1-RCEP-1D-BA,REC-T-225,Recôncavo,BA,TERRA,Recôncavo E&P,2011-06-12 20:30:00,2011-09-17 00:00:00,Não,
1-IMET-4-BA,REC-T-210,Recôncavo,BA,TERRA,Imetame,2011-06-12 14:00:00,2011-06-29 00:00:00,Não,
1-BRSA-951-AL,SEAL-T-252,Alagoas,AL,TERRA,Petrobras,2011-06-09 12:00:00,2011-08-03 00:00:00,Não,
4-BRSA-946A-SPS,BM-S-8,Santos,SP,MAR,Petrobras,2011-06-06 19:15:00,2011-06-29 00:00:00,Não,
6-BRSA-950DP-AL,SEAL-T-240,Alagoas,AL,TERRA,Petrobras,2011-06-05 19:30:00,2011-07-03 00:00:00,Não,
1-QG-5-BAS,BM-J-2,Jequitinhonha,BA,MAR,Enauta Energia,2011-06-05 05:00:00,2011-07-21 00:00:00,Não,
1-GALP-39-RN,POT-T-743,Potiguar,RN,TERRA,Petrogal Brasil,2011-06-05 00:30:00,2011-07-30 00:00:00,Não,
1-BRSA-948-MG,SF-T-111,São Francisco,MG,TERRA,Petrobras,2011-05-28 23:00:00,2011-10-13 00:00:00,Não,
3-OGX-48-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-05-28 15:45:00,2011-07-02 00:00:00,Sim,2011-07-06 00:00:00
3-STAT-4DP-RJS,C-M-529,Campos,RJ,MAR,Equinor Brasil,2011-05-25 11:00:00,2011-06-08 00:00:00,Sim,2011-06-01 00:00:00
4-BRSA-946-SPS,BM-S-8,Santos,SP,MAR,Petrobras,2011-05-25 05:00:00,2011-05-31 00:00:00,Não,
1-OGX-47-SPS,S-M-314,Santos,SP,MAR,PetroRio,2011-05-24 20:05:00,2011-09-08 00:00:00,Sim,2011-07-01 00:00:00
3-OGX-46D-MA,PN-T-68,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2011-05-19 07:00:00,2011-06-30 00:00:00,Sim,2011-07-06 00:00:00
1-BRSA-945-RNS,BM-POT-13,Potiguar,RN,MAR,Petrobras,2011-05-16 23:00:00,2011-09-09 00:00:00,Não,
3-BRSA-943-ES,CCNS,Espírito Santo,ES,TERRA,Petrobras,2011-05-13 12:00:00,2011-06-27 00:00:00,Sim,2011-05-25 00:00:00
3-STAT-3DP-RJS,C-M-529,Campos,RJ,MAR,Equinor Brasil,2011-05-10 19:00:00,2011-06-10 00:00:00,Sim,2011-05-24 00:00:00
4-OGX-45DA-RJS,C-M-499,Campos,RJ,MAR,PetroRio,2011-05-09 08:00:00,2011-06-22 00:00:00,Sim,2011-07-20 00:00:00
4-OGX-45D-RJS,C-M-499,Campos,RJ,MAR,PetroRio,2011-05-04 09:00:00,2011-05-09 00:00:00,Não,
1-BRSA-941D-AL,SEAL-T-240,Alagoas,AL,TERRA,Petrobras,2011-05-04 00:00:00,2011-06-05 00:00:00,Sim,2011-05-26 00:00:00
6-BRSA-938DP-SES,SEAL-M-495,Sergipe,SE,MAR,Petrobras,2011-05-01 01:00:00,2011-06-29 00:00:00,Não,
1-BRSA-939-ESS,ES-M-525,Espírito Santo,ES,MAR,Petrobras,2011-04-30 18:15:00,2011-07-15 00:00:00,Sim,2011-06-27 00:00:00
6-STAT-2DP-RJS,C-M-529,Campos,RJ,MAR,Equinor Brasil,2011-04-23 02:00:00,2011-06-10 00:00:00,Não,
1-HRT-1-AM,SOL-T-170,Solimões,AM,TERRA,Petro Rio O&G,2011-04-21 23:45:00,2011-11-05 00:00:00,Sim,2011-09-20 00:00:00
1-ONGC-1-PRS,S-M-1413,Santos,PR,MAR,ONGC Campos,2011-04-19 14:30:00,2011-12-20 00:00:00,Não,
1-IMET-3-BA,REC-T-211,Recôncavo,BA,TERRA,Imetame,2011-04-18 17:00:00,2011-06-06 00:00:00,Sim,2011-05-31 00:00:00
3-OGX-43D-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-04-17 22:00:00,2011-05-26 00:00:00,Sim,2011-05-24 00:00:00
4-BRSA-937D-RN,BT-POT-8,Potiguar,RN,TERRA,Petrobras,2011-04-17 09:00:00,2011-06-09 00:00:00,Não,
1-BRSA-936D-ESS,ES-M-525,Espírito Santo,ES,MAR,Petrobras,2011-04-15 00:50:00,2011-08-14 00:00:00,Sim,2011-06-27 00:00:00
3-OGX-42D-RJS,C-M-592,Campos,RJ,MAR,PetroRio,2011-04-12 01:30:00,2011-07-07 00:00:00,Sim,2011-06-01 00:00:00
1-BRSA-935-AL,SEAL-T-240,Alagoas,AL,TERRA,Petrobras,2011-04-12 00:00:00,2011-06-05 00:00:00,Sim,2011-06-02 00:00:00
